umid_inst,pto_orvalho_inst,pressao,radiacao,vento_vel,temp_inst
55.0,15.8,970.1,-3.539,5.0,25.5
60.0,16.3,970.4,-3.54,3.7,24.5
65.0,16.8,970.7,-3.54,4.1,23.8
68.0,17.1,971.3,-3.54,4.5,23.3
70.0,17.3,971.8,12.114,3.7,23.1
67.0,17.5,972.5,514.462,4.3,24.0
60.0,17.8,973.1,1375.129,4.5,26.1
55.0,16.9,973.2,1897.375,4.5,26.6
46.0,15.8,972.6,3012.536,4.5,28.6
38.0,15.6,972.0,3883.678,4.9,31.5
32.0,13.7,971.1,4145.948,3.1,32.4
28.0,12.4,970.0,3543.327,4.3,33.6
26.0,11.9,968.8,3373.287,3.9,34.1
25.0,11.0,967.8,2480.835,4.3,33.8
23.0,11.4,967.4,2097.869,3.5,35.7
24.0,11.0,967.5,896.306,4.0,34.3
26.0,11.3,967.6,581.972,3.6,33.3
27.0,11.0,967.8,1.352,3.7,32.2
28.0,11.0,968.1,-3.54,3.4,31.6
30.0,11.1,969.0,-3.54,3.7,30.8
33.0,12.3,969.6,-3.54,4.5,30.2
44.0,15.2,970.1,-3.54,4.5,28.6
51.0,16.3,970.3,-3.54,3.9,27.4
55.0,16.6,970.0,-3.54,3.9,26.3
60.0,17.0,970.2,-3.54,3.6,25.4
65.0,17.4,970.3,-3.54,5.8,24.3
66.0,17.2,970.6,-3.54,4.0,23.9
67.0,17.1,971.4,-3.54,3.0,23.5
68.0,17.2,972.2,13.866,3.1,23.4
63.0,16.9,972.9,531.967,4.0,24.4
55.0,16.7,973.3,1365.64,4.9,26.4
52.0,16.4,973.3,2233.089,4.2,27.2
44.0,15.7,972.9,3244.32,4.6,29.2
35.0,13.4,972.4,3957.716,2.9,30.6
30.0,12.7,971.4,4280.79,4.3,32.4
26.0,11.3,970.4,3917.092,4.0,33.6
23.0,10.4,969.1,3519.102,3.0,34.6
23.0,9.9,968.1,2950.631,3.3,34.1
21.0,8.9,967.6,2091.989,3.8,34.2
20.0,8.0,967.5,1320.741,4.0,34.0
22.0,8.6,967.8,382.01,2.0,33.2
25.0,9.4,968.0,9.951,1.2,31.6
28.0,9.8,968.5,-3.54,1.1,30.6
30.0,10.5,969.3,-3.54,1.5,29.8
31.0,10.9,970.1,-3.538,2.9,29.7
42.0,14.4,970.4,-3.491,4.3,28.5
45.0,14.6,970.1,-3.539,4.7,27.6
47.0,14.7,969.7,-3.54,3.4,27.1
48.0,14.5,969.7,-3.54,1.8,26.3
49.0,14.4,969.8,-3.54,2.1,25.8
53.0,15.1,970.0,-3.54,3.2,25.4
61.0,16.4,970.8,-3.54,2.4,24.5
64.0,16.9,971.5,14.328,2.5,24.1
61.0,16.9,972.0,355.399,2.4,24.9
56.0,16.0,972.6,1187.018,3.2,25.5
49.0,15.3,972.4,1960.931,3.6,27.0
45.0,14.5,971.7,3222.166,3.4,27.4
41.0,14.7,971.2,3499.954,3.0,29.2
38.0,13.9,970.3,3133.832,1.9,30.0
34.0,13.6,969.4,3697.783,3.4,31.5
30.0,12.7,968.4,3788.47,3.0,32.4
28.0,12.3,967.5,3199.205,2.6,33.1
27.0,12.1,966.9,2323.461,2.9,33.5
26.0,11.1,966.7,1331.128,2.5,33.3
25.0,10.4,967.0,398.019,2.5,32.9
27.0,10.9,967.2,2.656,1.6,32.1
31.0,11.6,967.7,-3.54,1.2,30.9
28.0,10.2,968.4,-3.54,3.0,30.6
30.0,10.3,968.5,-3.54,2.7,29.4
32.0,10.6,968.6,-3.54,2.5,28.8
34.0,10.8,968.5,-3.54,2.9,28.3
41.0,12.8,968.4,-3.54,3.8,27.2
47.0,14.5,968.9,-3.54,3.5,26.6
51.0,14.8,969.0,-3.54,3.1,25.9
48.0,13.4,969.5,-3.54,3.8,25.2
52.0,14.0,970.1,-3.54,2.7,24.5
57.0,14.9,970.8,5.501,3.5,23.9
62.0,15.8,971.7,142.439,3.6,23.6
61.0,16.7,972.1,825.402,4.2,24.7
54.0,16.8,972.1,2186.976,4.2,26.9
50.0,16.4,971.8,2644.422,3.3,27.8
47.0,15.7,971.2,3174.585,3.4,28.1
42.0,15.1,970.3,3937.953,2.6,29.3
36.0,14.2,968.8,4090.326,3.1,31.1
32.0,13.7,967.4,3413.587,4.1,32.3
29.0,12.6,966.4,3128.397,3.2,32.9
28.0,12.1,966.0,2407.075,4.5,33.2
28.0,12.3,965.9,1341.494,4.7,33.2
27.0,10.8,966.1,424.007,3.6,32.3
30.0,12.0,966.6,7.621,1.9,31.7
31.0,12.0,967.3,-3.54,2.7,31.1
32.0,12.0,967.7,-3.54,2.3,30.4
33.0,11.7,968.1,-3.54,2.4,29.6
34.0,11.5,968.7,-3.54,4.1,28.9
39.0,12.8,968.7,-3.54,5.6,27.9
43.0,13.6,968.7,-3.54,5.1,27.2
48.0,14.2,968.6,-3.54,4.5,26.0
52.0,14.5,968.4,-3.54,4.0,25.1
55.0,14.8,968.5,-3.54,3.0,24.4
60.0,15.4,969.2,-3.54,2.7,23.7
63.0,15.8,970.1,9.618,3.3,23.2
63.0,16.0,971.0,353.84,3.3,23.6
59.0,15.6,971.6,1397.844,4.0,24.2
52.0,14.7,971.9,2449.167,4.0,25.2
44.0,14.4,971.6,3365.129,3.1,27.7
42.0,13.9,970.8,3779.572,3.1,28.2
36.0,13.3,970.2,4084.837,3.7,30.3
33.0,12.2,969.0,3847.303,4.0,30.4
29.0,11.8,968.0,2196.843,2.5,32.1
27.0,11.1,967.0,2160.381,1.9,32.7
26.0,11.1,966.9,2174.194,3.9,33.4
24.0,9.8,967.1,1569.066,2.6,33.2
28.0,11.1,967.5,358.443,3.2,32.0
27.0,10.5,967.4,1.285,3.2,31.5
29.0,10.3,967.9,-3.54,2.3,30.5
32.0,11.1,968.5,-3.54,2.1,29.5
